Year,Entity,Sector,Oil Consumption - KTOE
2010,Eastern Africa (BP),Overall,2125.0527085124677
2011,Eastern Africa (BP),Overall,2215.3557179707655
2012,Eastern Africa (BP),Overall,2305.6311263972484
2013,Eastern Africa (BP),Overall,2429.987446259673
2014,Eastern Africa (BP),Overall,2523.2917454858125
2015,Eastern Africa (BP),Overall,2750.598624247635
2016,Eastern Africa (BP),Overall,2805.6779879621668
2017,Eastern Africa (BP),Overall,2973.7437661220984
2018,Eastern Africa (BP),Overall,3077.570937231298
2019,Eastern Africa (BP),Overall,3071.8267411865863
2020,Eastern Africa (BP),Overall,2693.213241616509
2021,Eastern Africa (BP),Overall,2874.949011177988
1965,Ecuador,Overall,68.10522441960447
1966,Ecuador,Overall,71.10705073086845
1967,Ecuador,Overall,76.79403267411865
1968,Ecuador,Overall,91.76390369733447
1969,Ecuador,Overall,97.10276010318142
1970,Ecuador,Overall,110.72781599312123
1971,Ecuador,Overall,122.37730008598453
1972,Ecuador,Overall,125.80870163370592
1973,Ecuador,Overall,140.01864144453998
1974,Ecuador,Overall,159.4693551160791
1975,Ecuador,Overall,156.04094582975065
1976,Ecuador,Overall,176.3537403267412
1977,Ecuador,Overall,220.07252794496992
1978,Ecuador,Overall,225.0449785038693
1979,Ecuador,Overall,239.6690799656062
1980,Ecuador,Overall,307.40477214101463
1981,Ecuador,Overall,343.60034393809116
1982,Ecuador,Overall,375.257437661221
1983,Ecuador,Overall,343.78452278589856
1984,Ecuador,Overall,345.52783319002583
1985,Ecuador,Overall,424.8625451418744
1986,Ecuador,Overall,431.5840584694755
1987,Ecuador,Overall,435.34588134135856
1988,Ecuador,Overall,514.0914015477214
1989,Ecuador,Overall,534.8693293207223
1990,Ecuador,Overall,547.0040412725709
1991,Ecuador,Overall,612.3209802235598
1992,Ecuador,Overall,610.8892519346517
1993,Ecuador,Overall,613.4146689595873
1994,Ecuador,Overall,666.8604471195184
1995,Ecuador,Overall,656.2460017196904
1996,Ecuador,Overall,737.0618228718831
1997,Ecuador,Overall,840.6276870163371
1998,Ecuador,Overall,846.1715391229579
1999,Ecuador,Overall,739.4379621668099
2000,Ecuador,Overall,673.5885640584695
2001,Ecuador,Overall,699.6033533963887
2002,Ecuador,Overall,694.760154772141
2003,Ecuador,Overall,710.1544711951848
2004,Ecuador,Overall,750.539724849527
2005,Ecuador,Overall,818.0684866723989
2006,Ecuador,Overall,867.0447119518486
2007,Ecuador,Overall,881.3668959587275
2008,Ecuador,Overall,907.9973344797936
2009,Ecuador,Overall,923.4150128976784
2010,Ecuador,Overall,1067.2977644024074
2011,Ecuador,Overall,1094.5442820292349
2012,Ecuador,Overall,1133.0491831470335
2013,Ecuador,Overall,1200.5661220980223
2014,Ecuador,Overall,1264.560275150473
2015,Ecuador,Overall,1226.6558899398108
2016,Ecuador,Overall,1152.544883920894
2017,Ecuador,Overall,1125.3106620808253
2018,Ecuador,Overall,1218.4034393809115
2019,Ecuador,Overall,1180.6757523645745
2020,Ecuador,Overall,949.9428202923474
2021,Ecuador,Overall,1175.7907136715392
1965,Egypt,Overall,699.860619088564
1966,Egypt,Overall,750.9888220120379
1967,Egypt,Overall,613.264316423044
1968,Egypt,Overall,641.4424763542563
1969,Egypt,Overall,476.17078245915735
1970,Egypt,Overall,616.2160275150474
1971,Egypt,Overall,636.9544282029234
1972,Egypt,Overall,727.8795356835769
1973,Egypt,Overall,684.1961650902837
