"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Congo, Dem. Rep.","COD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13390","13320","13380","13370","13390","13340","10650","10430","10950","10050","9870","10770","13390","14610","15580","15360","15610","13860","14670","14560","15070","14300","13860","14630","14370","14880","14810","15410","14430","14600","","",
"Congo, Rep.","COG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1490","1490","1490","1500","1510","1510","880","900","930","940","830","880","1120","1570","1640","1870","1910","1750","1770","1690","1920","1990","1970","2050","1840","2030","2050","2010","2060","2030","","",
"Colombia","COL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18150","18130","18090","18410","18660","18740","18500","18490","18830","18150","18630","19140","19390","20110","20370","20760","21260","22780","21970","22160","22710","22040","21580","20240","20920","20410","20550","21550","22610","22860","","",
"Comoros","COM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","40","40","40","40","50","50","40","40","50","40","40","40","40","40","50","40","50","50","50","50","50","50","50","50","50","50","","",
"Cabo Verde","CPV","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","60","80","80","60","80","50","60","80","80","80","80","80","80","80","80","80","80","80","90","100","60","60","70","70","70","70","60","60","60","","",
"Costa Rica","CRI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1640","1690","1700","1670","1640","1540","1770","1820","1860","1660","1560","1450","1440","1560","1460","1530","1550","1650","1730","1520","1640","1860","1800","1830","1750","1810","1950","1910","1960","1960","","",
"Caribbean small states","CSS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1820","1870","1880","1870","1870","1990","2050","2070","2060","2120","2110","2110","2200","2320","2360","2210","2170","2150","2290","2250","2270","2270","2340","2410","2430","2470","2420","2370","2440","2460","","",
"Cuba","CUB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6440","5880","5410","4550","4070","3990","3970","4090","3950","3750","3710","3870","3570","3330","3420","3190","3350","3430","3480","3370","3410","3630","3560","3670","3860","3760","3630","3620","3540","3560","","",
"Curacao","CUW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","320","370","370","370","370","380","360","370","370","360","380","400","400","390","360","360","370","360","380","390","380","380","340","340","350","350","360","360","370","","",
"Czechia","CZE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8020","6110","5950","5370","5550","5530","5750","5490","5410","5130","5530","5870","4900","4980","5190","5090","4960","4990","4920","4690","4550","4710","5140","4980","5100","5550","5580","5280","5140","5320","","",
"Germany","DEU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65350","64270","64290","61230","64690","62780","64000","61480","48790","45320","43660","45320","45120","44900","46230","44480","43050","46710","44390","44590","37560","36010","36100","36730","37620","36740","36070","34980","33120","34120","","",
"Djibouti","DJI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","210","220","230","240","240","250","250","250","250","250","250","260","250","250","250","250","260","260","260","260","260","260","260","260","260","260","","",
"Dominica","DMA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","30","30","30","20","20","20","30","30","30","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","",
"Denmark","DNK","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7300","7170","6700","6740","6640","6640","6590","6580","6400","6440","6440","6260","6100","6250","5540","5430","5380","5350","5360","5070","4980","4970","5000","4910","5090","5260","5240","5250","4880","5170","","",
"Dominican Republic","DOM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1920","2060","2020","2040","2090","2120","2210","2280","2270","2070","2010","2150","2440","2330","2530","2540","2700","2890","2840","2910","3040","3020","2930","2940","2980","3120","3200","3270","3410","3340","","",
"Algeria","DZA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5070","4860","4830","4740","4330","4240","4340","4210","4790","4720","7480","7640","7460","7710","8390","7770","8130","8160","7870","8470","8730","9350","10330","10910","11700","12310","12300","12300","12510","12610","","",
"East Asia & Pacific (excluding high income)","EAP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427860","437090","447130","440800","459050","505080","535490","505880","517180","533820","530580","531560","554730","564810","585780","596230","611970","628480","643340","665290","678370","689980","707040","721690","736940","753920","760410","768200","766430","776010","","",
"Early-demographic dividend","EAR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556650","558440","568330","568710","577990","593640","610960","622540","637720","644130","651270","658980","662600","677500","695650","717800","742150","762790","774760","788290","810450","829510","830900","838950","842680","850880","867280","893700","901870","907130","","",
