,ServiceNo,Operator,max_distance,max_StopSequence,WD_FirstBus,WD_LastBus
480,925C,SMRT,19.5,41,Doesnt run,Doesnt run
481,926,SMRT,13.9,17,Doesnt run,Doesnt run
482,927,SMRT,18.5,35,0600,2400
483,92A,SBST,7.2,22,1716,1932
484,92B,SBST,3.5,12,0637,2120
485,92M,SBST,7.8,22,Doesnt run,Doesnt run
486,93,SBST,24.8,58,0515,2400
487,94,SBST,11.2,27,0600,1930
488,941,TTS,6.8,19,0530,0100
489,944,SMRT,4.9,14,0530,0100
490,945,TTS,7.3,19,0530,0100
491,947,TTS,5.0,14,0530,0100
492,94A,SBST,4.9,14,0700,0723
493,95,SBST,11.5,30,0700,2330
494,950,SMRT,24.4,29,0530,2330
495,951E,SMRT,29.5,23,0715,0750
496,95B,SBST,4.5,12,1741,1845
497,96,TTS,6.8,15,0645,2330
498,960,SMRT,27.5,49,0530,2330
499,960e,SMRT,24.3,26,0600,2200
500,961,SMRT,35.6,94,0530,2330
501,961C,SMRT,38.2,95,Doesnt run,Doesnt run
502,962,SMRT,16.8,46,0530,2345
503,962B,SMRT,4.6,12,0639,0939
504,962C,SMRT,3.1,5,0635,0752
505,963,SMRT,29.9,51,0550,2330
506,963R,SMRT,32.2,32,Doesnt run,Doesnt run
507,963e,SMRT,29.9,31,0645,0705
508,964,SMRT,9.9,27,0600,2245
509,965,SMRT,42.5,55,0530,2330
510,965A,SMRT,7.4,14,0621,0657
511,966,SMRT,63.6,63,0545,2330
512,969,SMRT,27.6,28,0530,2345
513,969A,SMRT,20.7,15,0826,0826
514,96A,TTS,4.2,10,0720,0929
515,96B,TTS,6.6,14,1602,1622
516,97,TTS,23.2,45,0545,2345
517,970,SMRT,25.7,67,0530,2335
518,971E,SMRT,24.2,34,0705,0745
519,972,SMRT,40.2,63,0530,2335
520,972A,SMRT,19.6,28,2318,2335
521,973,SMRT,10.7,29,0530,0005
522,973A,SMRT,1.5,4,0030,0110
523,974,TTS,18.1,25,0545,2330
524,974A,TTS,3.9,9,2338,0110
525,975,SMRT,36.6,92,0545,2335
526,975B,SMRT,13.4,33,0618,0745
527,979,SMRT,11.8,38,0545,2345
528,97e,TTS,23.2,29,0736,0824
529,98,TTS,26.5,68,0530,2400
530,980,SMRT,25.4,64,0555,2330
531,981,SMRT,8.3,21,0645,0915
532,982E,SMRT,26.6,23,0730,0745
533,983,SMRT,11.7,30,0545,2345
534,983A,SMRT,4.5,12,2400,0055
535,985,SMRT,26.0,42,0530,2330
536,98A,TTS,9.0,11,1816,2011
537,98B,TTS,13.4,27,0555,0816
538,98M,TTS,18.5,47,0932,1630
539,99,SBST,17.0,46,0530,2400
540,990,TTS,11.5,28,0545,2400
541,991,SMRT,11.7,26,0530,2400
542,991A,SMRT,1.8,6,0015,0100
543,991B,SMRT,3.0,6,0018,0055
544,9A,SBST,8.4,21,1814,1955
545,BPS1,SMRT,5.4,9,0630,0830
546,CT18,SBST,19.8,22,1005,1635
547,CT8,SBST,17.7,22,1004,1640
548,NR1,SMRT,43.2,93,Doesnt run,Doesnt run
549,NR2,SMRT,37.0,58,Doesnt run,Doesnt run
550,NR3,SMRT,31.0,65,Doesnt run,Doesnt run
551,NR5,SMRT,34.0,88,Doesnt run,Doesnt run
552,NR6,SMRT,36.7,87,Doesnt run,Doesnt run
553,NR7,SMRT,41.1,106,Doesnt run,Doesnt run
554,NR8,SMRT,24.6,61,Doesnt run,Doesnt run
