Unnamed: 0,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
88,121,SBST,1,TRUNK,10499.0,10499.0,10-10,10-13,10-12,10-12,Telok Blangah Rise
89,122,SBST,1,TRUNK,10499.0,10499.0,11-13,12-16,13-17,13-17,C'wealth Dr
90,123,SBST,1,TRUNK,10009.0,14539.0,10-13,12-15,12-16,14-16,No Loop
91,123,SBST,2,TRUNK,14539.0,10009.0,11-11,11-15,12-15,14-15,No Loop
92,123M,SBST,1,TRUNK,14009.0,14009.0,10-14,10-20,12-15,14-15,Tiong Bahru Rd
93,124,SBST,1,TRUNK,52499.0,14009.0,06-08,06-10,06-08,06-10,No Loop
94,124,SBST,2,TRUNK,14009.0,52499.0,05-09,05-10,05-09,07-11,No Loop
95,125,SBST,1,TRUNK,52499.0,52499.0,11-12,9-18,9-17,15-18,Sims Dr
96,125A,SBST,1,TRUNK,81081.0,60219.0,07-13,-,-,-,No Loop
97,127,SBST,1,TRUNK,75009.0,75009.0,10-10,15-20,10-15,10-20,Tampines Ind Ave 5
98,127A,SBST,1,TRUNK,75009.0,75281.0,-,-,-,19-19,No Loop
99,128,SBST,1,TRUNK,55009.0,3239.0,15-15,-,-,-,No Loop
100,128,SBST,2,TRUNK,3239.0,55009.0,-,-,15-15,-,No Loop
101,129,SBST,1,TRUNK,75019.0,52499.0,12-12,15-15,12-15,12-15,No Loop
102,129,SBST,2,TRUNK,52499.0,75019.0,12-12,15-15,12-15,12-15,No Loop
